seconds_from_midnight,temp_in_kelvin,rh_in_percent,airchange_in_per_second,light_switch
0,290,70,6.94E-05,0
3600,290,70,6.94E-05,0
7200,290,70,6.94E-05,0
10800,290,70,6.94E-05,0
14400,290,70,6.94E-05,0
18000,296,70,6.94E-05,1
21600,296,70,6.94E-05,1
25200,296,65,2.78E-04,1
28800,291,65,2.78E-04,0
32400,291,65,2.78E-04,0
36000,291,65,2.78E-04,0
39600,291,65,2.78E-04,0
43200,291,65,2.78E-04,0
46800,291,65,2.78E-04,0
50400,291,65,2.78E-04,0
54000,291,65,2.78E-04,0
57600,294,80,5.56E-05,1
61200,294,80,5.56E-05,1
64800,294,80,5.56E-05,1
68400,294,80,5.56E-05,1
72000,294,80,5.56E-05,1
75600,294,80,5.56E-05,1
79200,294,80,5.56E-05,1
82800,294,80,5.56E-05,1
