seconds_from_midnight,temp_in_kelvin,rh_in_percent,airchange_in_per_second,light_switch
0,298,55,0.000138889,0
3600,298,55,0.000138889,0
7200,298,55,0.000138889,0
10800,298,55,0.000138889,0
14400,298,55,0.000138889,0
18000,298,55,0.000138889,0
21600,298,55,0.000138889,0
25200,298,55,0.000138889,0
28800,298,55,0.000138889,1
32400,298,55,0.000138889,1
36000,298,55,0.000138889,1
39600,298,55,0.000138889,1
43200,298,55,0.000138889,1
46800,298,55,0.000138889,1
50400,298,55,0.000138889,1
54000,298,55,0.000138889,1
57600,298,55,0.000138889,1
61200,298,55,0.000138889,1
64800,298,55,0.000138889,1
68400,298,55,0.000138889,1
72000,298,55,0.000138889,0
75600,298,55,0.000138889,0
79200,298,55,0.000138889,0
82800,298,55,0.000138889,0
